NAZWA;ILOSC;CENANETTO;WARTOSCBRUTTO;STAWKAVAT;WARTOSCVAT;EAN
S-CASE SILIKONOWY SAM G388 GALAXY XCOVER 3 CZARNY ;3.00;1.60;5.90;23%;1.10;5900217151937
Bat.Tel1 Nok 3100/3110cl/6230i (BL-5C) 1300mAh Li-ion ;4.00;9.00;44.28;23%;8.28;5900217007241
Bat.Tel1 Nok 6111/7370/7500/2630/2760/2600Cl/N75/N76 (BL-4B) 1000mAh Li-ion ;3.00;9.00;33.21;23%;6.21;5900217007333
Bat.Tel1 Sam I8910 Omnia/I5700/i5800/S8500 Wave/S8530 Wave 2 (EB504465VU) 1600mAh Li-ion ;3.00;12.50;46.13;23%;8.63;5900217031376
Bat.Tel1 Sam S5830 Ace/S5660 Gio (EM494358VU) 1600mAh Li-ion ;3.00;9.50;35.06;23%;6.56;5900217052678
S-CASE SILIKONOWY SAM G388 GALAXY XCOVER 3 PRZEZROCZYSTY ;2.00;1.60;3.94;23%;0.74;5900217151944
BACK CASE ULTRA SLIM 0,3MM SAM A300 GALAXY A3 PRZEZROCZYSTY ;3.00;2.50;9.23;23%;1.73;5900217133278
BACK CASE ULTRA SLIM 0,3MM SAM G900 GALAXY S5 PRZEZROCZYSTY ;3.00;2.50;9.23;23%;1.73;5900217107804
CANDY CASE SLIM 0,3MM SAM A300 GALAXY A3 LIMONKA ;2.00;3.50;8.61;23%;1.61;5900217149897
CANDY CASE SLIM 0,3MM SAM A300 GALAXY A3 MIĘTOWY ;2.00;3.50;8.61;23%;1.61;5900217149880
Kabura Telone BOOK POCKET HTC Desire 620 czarna ;2.00;6.00;14.76;23%;2.76;5900217139980
Kabura Telone pionowa POCKET/FLEXI slim Sam G318 Galaxy Trend 2 Lite czarny ;3.00;5.00;18.45;23%;3.45;5900217156055
Kabura Telone pionowa POCKET/FLEXI slim Sam S5610 czarny ;3.00;5.00;18.45;23%;3.45;5900217133506
Kabura Telone pionowa POCKET/FLEXI slim Sony Xperia M4 Aqua czarny ;2.00;5.00;12.30;23%;2.30;5900217153788
Kabura Telone pionowa POCKET/FLEXI slim Sony Xperia Z2 (D6503) czarny ;2.00;5.00;12.30;23%;2.30;5900217102083
GŁOŚNIK MULTIMEDIALNY BLUETOOTH CZARNY ;2.00;29.00;71.34;23%;13.34;5900217121336
KIESZONKA TELONE DEKO 1 (ROZMIAR 06) Nok E52/Sam C3530/S5610 CZARNA ;4.00;4.25;20.91;23%;3.91;5900217030782
UCHWYT SAM. UNIWERSALNY K300 CZARNY ;4.00;10.00;49.20;23%;9.20;5900217087397
KARTA IMRO MICRO SD  16GB BEZ ADAPTERA UHS I CLASS 10 ;8.00;16.00;157.44;23%;29.44;5902768015034
HARTOWANE SZKŁO IPHONE 5/5G/5S ;4.00;4.00;19.68;23%;3.68;5900217099123
HARTOWANE SZKŁO LG LEON (H340N) ;3.00;4.00;14.76;23%;2.76;5900217140849
HARTOWANE SZKŁO MIC LUMIA 532 ;4.00;4.00;19.68;23%;3.68;5900217140146
HARTOWANE SZKŁO SAM A500 GALAXY A5 ;4.00;4.00;19.68;23%;3.68;5900217136361
HARTOWANE SZKŁO SAM G388 GALAXY XCOVER 3 ;5.00;4.00;24.60;23%;4.60;5900217143208
HARTOWANE SZKŁO SAM G530 GALAXY GRAND PRIME ;8.00;4.00;39.36;23%;7.36;5900217128045
HARTOWANE SZKŁO SAM G800 GALAXY S5 MINI ;3.00;4.00;14.76;23%;2.76;5900217106999
HARTOWANE SZKŁO SAM G920 GALAXY S6 ;5.00;4.00;24.60;23%;4.60;5900217136606
HARTOWANE SZKŁO SAM I9300 GALAXY S3/I9301 S3 NEO ;5.00;4.00;24.60;23%;4.60;5900217099130
HARTOWANE SZKŁO SONY XPERIA E4 ;2.00;4.00;9.84;23%;1.84;5900217137078
HARTOWANE SZKŁO SONY XPERIA Z5 MINI/COMPACT PRZÓD+TYŁ ;4.00;7.00;34.44;23%;6.44;5900217163749
